MouseState { coords: (720, 671), button_pressed: [false, false, false, false, false, false] }
MouseState { coords: (708, 660), button_pressed: [false, false, false, false, false, false] }
MouseState { coords: (689, 640), button_pressed: [false, false, false, false, false, false] }
MouseState { coords: (652, 617), button_pressed: [false, false, false, false, false, false] }
MouseState { coords: (602, 593), button_pressed: [false, false, false, false, false, false] }
MouseState { coords: (549, 571), button_pressed: [false, false, false, false, false, false] }
MouseState { coords: (505, 554), button_pressed: [false, false, false, false, false, false] }
MouseState { coords: (484, 549), button_pressed: [false, false, false, false, false, false] }
MouseState { coords: (486, 549), button_pressed: [false, false, false, false, false, false] }
MouseState { coords: (489, 549), button_pressed: [false, false, false, false, false, false] }
MouseState { coords: (486, 549), button_pressed: [false, false, false, false, false, false] }
MouseState { coords: (483, 549), button_pressed: [false, false, false, false, false, false] }
MouseState { coords: (475, 548), button_pressed: [false, false, false, false, false, false] }
MouseState { coords: (463, 547), button_pressed: [false, false, false, false, false, false] }
MouseState { coords: (450, 546), button_pressed: [false, false, false, false, false, false] }
MouseState { coords: (437, 545), button_pressed: [false, false, false, false, false, false] }
MouseState { coords: (426, 545), button_pressed: [false, false, false, false, false, false] }
MouseState { coords: (425, 545), button_pressed: [false, false, false, false, false, false] }
MouseState { coords: (427, 549), button_pressed: [false, false, false, false, false, false] }
MouseState { coords: (434, 550), button_pressed: [false, false, false, false, false, false] }
MouseState { coords: (447, 553), button_pressed: [false, false, false, false, false, false] }
MouseState { coords: (466, 555), button_pressed: [false, false, false, false, false, false] }
MouseState { coords: (492, 558), button_pressed: [false, false, false, false, false, false] }
MouseState { coords: (515, 561), button_pressed: [false, false, false, false, false, false] }
MouseState { coords: (536, 566), button_pressed: [false, false, false, false, false, false] }
MouseState { coords: (544, 567), button_pressed: [false, false, false, false, false, false] }
MouseState { coords: (545, 567), button_pressed: [false, false, false, false, false, false] }
MouseState { coords: (545, 571), button_pressed: [false, false, false, false, false, false] }
MouseState { coords: (544, 573), button_pressed: [false, false, false, false, false, false] }
MouseState { coords: (537, 576), button_pressed: [false, false, false, false, false, false] }
MouseState { coords: (521, 579), button_pressed: [false, false, false, false, false, false] }
MouseState { coords: (503, 589), button_pressed: [false, false, false, false, false, false] }
MouseState { coords: (485, 599), button_pressed: [false, false, false, false, false, false] }
MouseState { coords: (474, 605), button_pressed: [false, false, false, false, false, false] }
MouseState { coords: (466, 612), button_pressed: [false, false, false, false, false, false] }
MouseState { coords: (463, 615), button_pressed: [false, false, false, false, false, false] }
MouseState { coords: (463, 617), button_pressed: [false, false, false, false, false, false] }
MouseState { coords: (463, 616), button_pressed: [false, false, false, false, false, false] }
MouseState { coords: (463, 612), button_pressed: [false, false, false, false, false, false] }
MouseState { coords: (463, 607), button_pressed: [false, false, false, false, false, false] }
MouseState { coords: (463, 605), button_pressed: [false, false, false, false, false, false] }
MouseState { coords: (463, 602), button_pressed: [false, false, false, false, false, false] }
MouseState { coords: (463, 600), button_pressed: [false, false, false, false, false, false] }
MouseState { coords: (463, 597), button_pressed: [false, false, false, false, false, false] }
MouseState { coords: (463, 594), button_pressed: [false, false, false, false, false, false] }
MouseState { coords: (463, 593), button_pressed: [false, false, false, false, false, false] }
MouseState { coords: (463, 591), button_pressed: [false, false, false, false, false, false] }
MouseState { coords: (463, 586), button_pressed: [false, false, false, false, false, false] }
MouseState { coords: (462, 581), button_pressed: [false, false, false, false, false, false] }
MouseState { coords: (462, 580), button_pressed: [false, false, false, false, false, false] }
MouseState { coords: (461, 579), button_pressed: [false, false, false, false, false, false] }
MouseState { coords: (461, 579), button_pressed: [false, true, false, false, false, false] }
MouseState { coords: (461, 579), button_pressed: [false, false, false, false, false, false] }
MouseState { coords: (461, 578), button_pressed: [false, false, false, false, false, false] }
MouseState { coords: (462, 578), button_pressed: [false, false, false, false, false, false] }
MouseState { coords: (463, 578), button_pressed: [false, false, false, false, false, false] }
MouseState { coords: (464, 578), button_pressed: [false, false, false, false, false, false] }
MouseState { coords: (468, 578), button_pressed: [false, false, false, false, false, false] }
MouseState { coords: (470, 578), button_pressed: [false, false, false, false, false, false] }
MouseState { coords: (474, 577), button_pressed: [false, false, false, false, false, false] }
MouseState { coords: (480, 575), button_pressed: [false, false, false, false, false, false] }
MouseState { coords: (491, 572), button_pressed: [false, false, false, false, false, false] }
MouseState { coords: (502, 567), button_pressed: [false, false, false, false, false, false] }
MouseState { coords: (513, 564), button_pressed: [false, false, false, false, false, false] }
MouseState { coords: (524, 559), button_pressed: [false, false, false, false, false, false] }
MouseState { coords: (535, 553), button_pressed: [false, false, false, false, false, false] }
MouseState { coords: (546, 550), button_pressed: [false, false, false, false, false, false] }
MouseState { coords: (556, 544), button_pressed: [false, false, false, false, false, false] }
MouseState { coords: (560, 542), button_pressed: [false, false, false, false, false, false] }
MouseState { coords: (561, 542), button_pressed: [false, false, false, false, false, false] }
MouseState { coords: (561, 542), button_pressed: [false, true, false, false, false, false] }
MouseState { coords: (561, 542), button_pressed: [false, false, false, false, false, false] }
MouseState { coords: (561, 542), button_pressed: [false, true, false, false, false, false] }
MouseState { coords: (561, 542), button_pressed: [false, false, false, false, false, false] }
MouseState { coords: (563, 542), button_pressed: [false, false, false, false, false, false] }
MouseState { coords: (566, 542), button_pressed: [false, false, false, false, false, false] }
MouseState { coords: (569, 542), button_pressed: [false, false, false, false, false, false] }
MouseState { coords: (574, 541), button_pressed: [false, false, false, false, false, false] }
MouseState { coords: (576, 540), button_pressed: [false, false, false, false, false, false] }
MouseState { coords: (580, 540), button_pressed: [false, false, false, false, false, false] }
MouseState { coords: (585, 538), button_pressed: [false, false, false, false, false, false] }
MouseState { coords: (586, 537), button_pressed: [false, false, false, false, false, false] }
MouseState { coords: (587, 537), button_pressed: [false, false, false, false, false, false] }
